,id_aspirante,nombres_aspirante,apellidos_aspirante,correo_aspirante,genero,telefono_aspirante,fecha_nacimiento,estado_aspirante
12,04723cf6-6944-11ed-b3d8-0242ac1c0002,Modesto Sabas,Piña Gimenez,modesto.piña@hotmail.com,M,0997616163,2005-08-04,Activo
13,04723d64-6944-11ed-b3d8-0242ac1c0002,Ruth Perlita,Soria Burgos,ruth.soria@hotmail.com,F,0937110250,2002-04-16,Inactivo
14,04723ddc-6944-11ed-b3d8-0242ac1c0002,Borja Alejo,Llopis Roma,borja.llopis@hotmail.com,M,0989353287,1994-11-09,Inactivo
15,04723e5e-6944-11ed-b3d8-0242ac1c0002,Dani Valerio,Paniagua Losa,dani.paniagua@hotmail.com,M,0951261970,1988-05-26,Inactivo
16,04723ecc-6944-11ed-b3d8-0242ac1c0002,Malena Josefina,Valderrama Andres,malena.valderrama@hotmail.com,F,0988482952,2003-06-22,Activo
17,04723f3a-6944-11ed-b3d8-0242ac1c0002,Zaira Calista,Olivé Aguirre,zaira.olivé@hotmail.com,F,0939805105,1989-01-26,Activo
18,04723fb2-6944-11ed-b3d8-0242ac1c0002,Mauricio Sebastián,Salvador Tamayo,mauricio.salvador@hotmail.com,M,0920446401,1996-09-15,Activo
19,04724020-6944-11ed-b3d8-0242ac1c0002,Sebastian Santiago,Saldaña Sanmiguel,sebastian.saldaña@hotmail.com,M,0969663870,2006-09-05,Inactivo
20,0472408e-6944-11ed-b3d8-0242ac1c0002,Ana Serafina,Garrido Escrivá,ana.garrido@hotmail.com,F,0936530411,1995-06-24,Activo
21,047240fc-6944-11ed-b3d8-0242ac1c0002,Ildefonso Hernando,Oliveras Llorens,ildefonso.oliveras@hotmail.com,M,0920438449,1986-06-24,Inactivo
22,0472416a-6944-11ed-b3d8-0242ac1c0002,Felicidad Manuela,Plana Belmonte,felicidad.plana@hotmail.com,F,0902155944,1985-03-18,Activo
23,047241ec-6944-11ed-b3d8-0242ac1c0002,Paco Marcio,Villa Pomares,paco.villa@hotmail.com,M,0961878706,1980-08-13,Activo
24,0472425a-6944-11ed-b3d8-0242ac1c0002,Ligia Pía,Novoa Daza,ligia.novoa@hotmail.com,F,0993294134,1982-03-03,Activo
25,047242c8-6944-11ed-b3d8-0242ac1c0002,Leandro Manu,Arrieta Azorin,leandro.arrieta@hotmail.com,M,0913631066,1997-06-07,Inactivo
26,04724336-6944-11ed-b3d8-0242ac1c0002,Berta Filomena,Bonilla Navarro,berta.bonilla@hotmail.com,F,0955822458,1999-07-12,Activo
27,047243ae-6944-11ed-b3d8-0242ac1c0002,Visitación Andrea,Ayala Falcón,visitación.ayala@hotmail.com,F,0922885023,1986-06-05,Inactivo
28,0472441c-6944-11ed-b3d8-0242ac1c0002,Encarnación Juana,Escalona Chacón,encarnación.escalona@hotmail.com,F,0918267282,1986-09-01,Inactivo
29,0472448a-6944-11ed-b3d8-0242ac1c0002,Evangelina Charo,Hoyos Azorin,evangelina.hoyos@hotmail.com,F,0937799154,1999-12-25,Inactivo
30,04724502-6944-11ed-b3d8-0242ac1c0002,Eva María Evangelina,Sainz Artigas,eva maría.sainz@hotmail.com,F,0966225018,1995-04-27,Activo
31,0472457a-6944-11ed-b3d8-0242ac1c0002,Azahar Adora,Pallarès Sanabria,azahar.pallarès@hotmail.com,F,0956105678,1997-12-27,Activo
32,047245f2-6944-11ed-b3d8-0242ac1c0002,Azeneth Fidela,Noguera Giralt,azeneth.noguera@hotmail.com,F,0975849621,2004-05-01,Activo
33,04724660-6944-11ed-b3d8-0242ac1c0002,Yaiza Celia,Camino Prieto,yaiza.camino@hotmail.com,F,0928732442,2000-10-14,Activo
34,047246d8-6944-11ed-b3d8-0242ac1c0002,Samu Eliseo,Larrea Adadia,samu.larrea@hotmail.com,M,0964908007,1995-08-28,Activo
35,04724746-6944-11ed-b3d8-0242ac1c0002,Desiderio Amílcar,Navarrete Ureña,desiderio.navarrete@hotmail.com,M,0927017872,2006-08-09,Activo
36,047247be-6944-11ed-b3d8-0242ac1c0002,Alejandro Tomás,Aranda Andrade,alejandro.aranda@hotmail.com,M,0978715037,1987-01-23,Activo
37,0472482c-6944-11ed-b3d8-0242ac1c0002,Alejandro Teobaldo,Cervantes Castillo,alejandro.cervantes@hotmail.com,M,0993996106,1985-07-19,Activo
38,047248a4-6944-11ed-b3d8-0242ac1c0002,Poncio Francisco Javier,Barranco Pacheco,poncio.barranco@hotmail.com,M,0919440693,1986-02-15,Activo
39,04724912-6944-11ed-b3d8-0242ac1c0002,Bernardo Camilo,Crespi Barreda,bernardo.crespi@hotmail.com,M,0945368124,1980-06-08,Inactivo
40,04724980-6944-11ed-b3d8-0242ac1c0002,Jose Antonio Desiderio,Bravo Briones,jose antonio.bravo@hotmail.com,M,0900888526,1984-04-28,Inactivo
41,047249ee-6944-11ed-b3d8-0242ac1c0002,Abel Albert,Ocaña Bosch,abel.ocaña@hotmail.com,M,0984374357,2006-03-23,Inactivo
42,04724a5c-6944-11ed-b3d8-0242ac1c0002,Nélida Ruperta,Hidalgo Goicoechea,nélida.hidalgo@hotmail.com,F,0911616039,1988-12-21,Activo
43,04724aca-6944-11ed-b3d8-0242ac1c0002,Haydée Maite,Tormo León,haydée.tormo@hotmail.com,F,0957304233,1983-09-02,Activo
44,04724b38-6944-11ed-b3d8-0242ac1c0002,Fernando Jafet,Bonet Morillo,fernando.bonet@hotmail.com,M,0911689446,2005-07-10,Activo
45,04724ba6-6944-11ed-b3d8-0242ac1c0002,Íñigo Plácido,Mora Acuña,íñigo.mora@hotmail.com,M,0971116170,2004-10-06,Inactivo
46,04724c14-6944-11ed-b3d8-0242ac1c0002,Rosalía María Manuela,Murcia Santana,rosalía.murcia@hotmail.com,F,0981781755,1985-12-24,Inactivo
47,04724c8c-6944-11ed-b3d8-0242ac1c0002,Bautista Prudencio,Barrio Fiol,bautista.barrio@hotmail.com,M,0990632721,1991-11-16,Inactivo
48,04724cfa-6944-11ed-b3d8-0242ac1c0002,Victoriano Gonzalo,Barceló Álvaro,victoriano.barceló@hotmail.com,M,0964743157,1988-10-11,Activo
49,04724d86-6944-11ed-b3d8-0242ac1c0002,Narciso Enrique,Álvaro Gil,narciso.álvaro@hotmail.com,M,0936315848,1992-10-06,Activo
50,04724df4-6944-11ed-b3d8-0242ac1c0002,Eva María Florentina,Valls Castells,eva maría.valls@hotmail.com,F,0942593149,1986-05-18,Inactivo
51,04724e62-6944-11ed-b3d8-0242ac1c0002,Moreno Moreno,Criado Puig,moreno.criado@hotmail.com,M,0994829896,1994-12-15,Inactivo
52,04724ed0-6944-11ed-b3d8-0242ac1c0002,Alex Hernando,Cuesta Fabregat,alex.cuesta@hotmail.com,M,0903180276,1981-07-22,Inactivo
53,04724f3e-6944-11ed-b3d8-0242ac1c0002,Aarón Ezequiel,Maza Guardia,aarón.maza@hotmail.com,M,0924536322,1980-08-13,Inactivo
54,04724fb6-6944-11ed-b3d8-0242ac1c0002,David Julián,Ródenas Checa,david.ródenas@hotmail.com,M,0975068762,1981-03-02,Inactivo
55,0472502e-6944-11ed-b3d8-0242ac1c0002,Eutropio Cesar,Cortina Naranjo,eutropio.cortina@hotmail.com,M,0909314349,1999-06-15,Inactivo
56,0472509c-6944-11ed-b3d8-0242ac1c0002,Nereida Dora,Garzón Grande,nereida.garzón@hotmail.com,F,0942406498,2003-11-05,Inactivo
57,0472510a-6944-11ed-b3d8-0242ac1c0002,Cayetana Cándida,Lumbreras Sales,cayetana.lumbreras@hotmail.com,F,0990324690,2006-02-19,Activo
58,04725178-6944-11ed-b3d8-0242ac1c0002,Emma María Cristina,Santamaría Rincón,emma.santamaría@hotmail.com,F,0915646498,1991-01-10,Inactivo
59,047251f0-6944-11ed-b3d8-0242ac1c0002,María Del Carmen Belen,Larrañaga González,maría del carmen.larrañaga@hotmail.com,F,0901387969,2003-03-30,Activo
60,04725268-6944-11ed-b3d8-0242ac1c0002,Manu Florencio,Sanmartín Álvaro,manu.sanmartín@hotmail.com,M,0911138337,1999-05-26,Inactivo
61,047252d6-6944-11ed-b3d8-0242ac1c0002,Eduardo Luis,Llobet Clavero,eduardo.llobet@hotmail.com,M,0913220234,2002-02-11,Activo
62,0472533a-6944-11ed-b3d8-0242ac1c0002,Alberto Geraldo,Solé Báez,alberto.solé@hotmail.com,M,0946302844,1989-01-27,Inactivo
63,047253b2-6944-11ed-b3d8-0242ac1c0002,Nicanor Clemente,Vélez Otero,nicanor.vélez@hotmail.com,M,0954453673,1994-06-04,Inactivo
64,04725420-6944-11ed-b3d8-0242ac1c0002,Quique Demetrio,Mateu Menendez,quique.mateu@hotmail.com,M,0999325491,1991-09-28,Inactivo
65,04725498-6944-11ed-b3d8-0242ac1c0002,Luisa Itziar,Aliaga Bosch,luisa.aliaga@hotmail.com,F,0956630684,1986-07-09,Activo
66,04725506-6944-11ed-b3d8-0242ac1c0002,Sara Alejandra,Echeverría Piñol,sara.echeverría@hotmail.com,F,0940187363,2001-12-09,Activo
67,0472557e-6944-11ed-b3d8-0242ac1c0002,Zacarías Alejandro,Bonet Fabra,zacarías.bonet@hotmail.com,M,0930485625,1985-04-12,Activo
68,047255f6-6944-11ed-b3d8-0242ac1c0002,Borja Eduardo,Balaguer Cárdenas,borja.balaguer@hotmail.com,M,0951818197,2006-05-29,Activo
69,04725664-6944-11ed-b3d8-0242ac1c0002,Ignacia Evangelina,Tenorio Balaguer,ignacia.tenorio@hotmail.com,F,0955227444,2004-07-27,Inactivo
70,047256d2-6944-11ed-b3d8-0242ac1c0002,Hernán Pascual,Salom Suárez,hernán.salom@hotmail.com,M,0971321638,2006-02-27,Activo
71,04725740-6944-11ed-b3d8-0242ac1c0002,Adoración Alba,Ayuso Marin,adoración.ayuso@hotmail.com,F,0983776331,1999-06-13,Inactivo
72,047257ae-6944-11ed-b3d8-0242ac1c0002,Andrés Felipe Adalberto,Elorza Ojeda,andrés felipe.elorza@hotmail.com,M,0915745098,1999-08-20,Activo
73,04725826-6944-11ed-b3d8-0242ac1c0002,Elpidio Nicolás,Meléndez Lucas,elpidio.meléndez@hotmail.com,M,0903167002,1994-08-21,Inactivo
74,04725894-6944-11ed-b3d8-0242ac1c0002,Azahara Macarena,Elías Bustamante,azahara.elías@hotmail.com,F,0903044212,1993-10-11,Inactivo
75,04725902-6944-11ed-b3d8-0242ac1c0002,Cristina Gloria,Viñas Calvo,cristina.viñas@hotmail.com,F,0912447204,1985-07-25,Inactivo
76,04725970-6944-11ed-b3d8-0242ac1c0002,Sosimo Román,Molins Pelayo,sosimo.molins@hotmail.com,M,0926632114,1992-09-22,Activo
77,04725a2e-6944-11ed-b3d8-0242ac1c0002,Cayetano Maxi,Quintero Lluch,cayetano.quintero@hotmail.com,M,0902401957,2001-12-11,Activo
78,04725a9c-6944-11ed-b3d8-0242ac1c0002,Felicidad Ani,Sarmiento Jáuregui,felicidad.sarmiento@hotmail.com,F,0993575802,1997-03-30,Inactivo
79,04725b14-6944-11ed-b3d8-0242ac1c0002,Telmo Che,Lastra Planas,telmo.lastra@hotmail.com,M,0975726597,2002-12-06,Activo
80,04725b82-6944-11ed-b3d8-0242ac1c0002,Perla Ariadna,Martin Cabeza,perla.martin@hotmail.com,F,0937894552,1991-09-16,Inactivo
81,04725bf0-6944-11ed-b3d8-0242ac1c0002,Laura Loida,Jiménez Tomás,laura.jiménez@hotmail.com,F,0998303898,2004-12-31,Activo
82,04725d80-6944-11ed-b3d8-0242ac1c0002,Marcos Wilfredo,Galvez Esparza,marcos.galvez@hotmail.com,M,0955976075,1999-08-01,Inactivo
83,04725e48-6944-11ed-b3d8-0242ac1c0002,Félix Iván,Mayol Cepeda,félix.mayol@hotmail.com,M,0946805460,1991-05-15,Activo
84,04725f06-6944-11ed-b3d8-0242ac1c0002,Urbano Nilo,Calleja Verdú,urbano.calleja@hotmail.com,M,0907082571,1990-07-16,Inactivo
85,04725f7e-6944-11ed-b3d8-0242ac1c0002,Isaías Eladio,Ojeda Olivera,isaías.ojeda@hotmail.com,M,0967123338,2000-04-03,Inactivo
86,04725ff6-6944-11ed-b3d8-0242ac1c0002,Blas Macario,Bartolomé Beltrán,blas.bartolomé@hotmail.com,M,0903892615,2001-10-10,Inactivo
87,04726064-6944-11ed-b3d8-0242ac1c0002,Ángel Ciríaco,Vilaplana Martín,ángel.vilaplana@hotmail.com,M,0928796302,1998-05-23,Activo
88,047260d2-6944-11ed-b3d8-0242ac1c0002,Flora Arcelia,Izquierdo Campillo,flora.izquierdo@hotmail.com,F,0920467248,1997-10-21,Inactivo
89,0472614a-6944-11ed-b3d8-0242ac1c0002,Arsenio Espiridión,Soriano Pellicer,arsenio.soriano@hotmail.com,M,0942476738,1986-02-26,Inactivo
90,047261c2-6944-11ed-b3d8-0242ac1c0002,Calisto Félix,Revilla Amor,calisto.revilla@hotmail.com,M,0976649213,1984-09-20,Inactivo
91,04726230-6944-11ed-b3d8-0242ac1c0002,Adelina Carla,Rodrigo Arnau,adelina.rodrigo@hotmail.com,F,0923294759,2000-01-28,Inactivo
92,0472629e-6944-11ed-b3d8-0242ac1c0002,Isidoro Haroldo,Águila Olivera,isidoro.águila@hotmail.com,M,0950670817,1986-05-06,Activo
93,04726316-6944-11ed-b3d8-0242ac1c0002,Sara Imelda,Rodríguez Guerra,sara.rodríguez@hotmail.com,F,0957553040,1992-02-04,Inactivo
94,04726384-6944-11ed-b3d8-0242ac1c0002,Camila Martina,Ramírez Piñeiro,camila.ramírez@hotmail.com,F,0944225839,1987-09-07,Inactivo
95,047263fc-6944-11ed-b3d8-0242ac1c0002,Gregorio Germán,Alsina Puga,gregorio.alsina@hotmail.com,M,0904741978,1983-05-14,Inactivo
96,04726474-6944-11ed-b3d8-0242ac1c0002,Gil José Antonio,Corral Sans,gil.corral@hotmail.com,M,0981971782,2001-02-17,Inactivo
97,047264ec-6944-11ed-b3d8-0242ac1c0002,Victor Manuel Diego,López Saura,victor manuel.lópez@hotmail.com,M,0991919726,1992-12-12,Activo
98,0472655a-6944-11ed-b3d8-0242ac1c0002,Jesús Agapito,Uriarte Romero,jesús.uriarte@hotmail.com,M,0952181263,1991-01-15,Inactivo
99,047265d2-6944-11ed-b3d8-0242ac1c0002,Inocencio Baudelio,Chaparro Uriarte,inocencio.chaparro@hotmail.com,M,0989106233,1997-05-24,Activo
100,04726640-6944-11ed-b3d8-0242ac1c0002,Zaira Francisca,Martín Codina,zaira.martín@hotmail.com,F,0983016458,1996-04-19,Inactivo
101,047266ae-6944-11ed-b3d8-0242ac1c0002,Vinicio Cruz,Amigó Escolano,vinicio.amigó@hotmail.com,M,0915970169,2004-06-19,Inactivo
102,04726726-6944-11ed-b3d8-0242ac1c0002,Luisa Dionisia,Palacios Rodrigo,luisa.palacios@hotmail.com,F,0988649604,2000-04-02,Activo
103,04726794-6944-11ed-b3d8-0242ac1c0002,Edelmira Oriana,Urrutia Dávila,edelmira.urrutia@hotmail.com,F,0961018635,2002-02-07,Inactivo
104,0472680c-6944-11ed-b3d8-0242ac1c0002,Roberta Bárbara,Pozo Barros,roberta.pozo@hotmail.com,F,0987821415,1983-08-15,Activo
105,04726870-6944-11ed-b3d8-0242ac1c0002,Abril Nereida,Ortega Cal,abril.ortega@hotmail.com,F,0920008157,2004-12-15,Inactivo
106,047268e8-6944-11ed-b3d8-0242ac1c0002,Ruth Evelia,Linares Coca,ruth.linares@hotmail.com,F,0916223423,1984-10-18,Activo
107,04726960-6944-11ed-b3d8-0242ac1c0002,Conrado José Antonio,Cabeza Batlle,conrado.cabeza@hotmail.com,M,0914960687,1991-06-12,Inactivo
108,047269ce-6944-11ed-b3d8-0242ac1c0002,Alba Mirta,Noguera Huguet,alba.noguera@hotmail.com,F,0961297746,1992-05-21,Inactivo
109,04726a46-6944-11ed-b3d8-0242ac1c0002,Haroldo Manu,Giralt Carrillo,haroldo.giralt@hotmail.com,M,0930456537,1982-01-03,Inactivo
110,04726ab4-6944-11ed-b3d8-0242ac1c0002,Nacio Eustaquio,Cuéllar Ballester,nacio.cuéllar@hotmail.com,M,0960921738,1995-03-29,Activo
111,04726b22-6944-11ed-b3d8-0242ac1c0002,Benigno Jafet,Gordillo Garriga,benigno.gordillo@hotmail.com,M,0930864703,1982-12-21,Inactivo
112,04726b90-6944-11ed-b3d8-0242ac1c0002,Matías Armando,Ferrera Jerez,matías.ferrera@hotmail.com,M,0995438072,2001-04-02,Activo
113,04726bfe-6944-11ed-b3d8-0242ac1c0002,Rosenda Josefina,Roldán Perez,rosenda.roldán@hotmail.com,F,0913959672,2000-11-19,Inactivo
114,04726cb2-6944-11ed-b3d8-0242ac1c0002,Montserrat Teodora,Lasa Manzano,montserrat.lasa@hotmail.com,F,0928822237,1997-01-12,Inactivo
115,04726d2a-6944-11ed-b3d8-0242ac1c0002,Ramiro Casemiro,Gual Castells,ramiro.gual@hotmail.com,M,0989937172,2002-04-09,Activo
116,04726d98-6944-11ed-b3d8-0242ac1c0002,Obdulia Malena,Botella Valderrama,obdulia.botella@hotmail.com,F,0921670907,1986-06-16,Activo
117,04726e06-6944-11ed-b3d8-0242ac1c0002,Isaías Reinaldo,Pagès Chacón,isaías.pagès@hotmail.com,M,0947863938,1983-07-07,Inactivo
118,04726e74-6944-11ed-b3d8-0242ac1c0002,Carlota Vanesa,Pol Gámez,carlota.pol@hotmail.com,F,0979808895,1989-01-31,Inactivo
119,04726ee2-6944-11ed-b3d8-0242ac1c0002,Trini Prudencia,Chamorro Mascaró,trini.chamorro@hotmail.com,F,0945911409,2006-11-29,Activo
120,04726f50-6944-11ed-b3d8-0242ac1c0002,Carmela Anastasia,Ribes Carpio,carmela.ribes@hotmail.com,F,0987578047,1997-03-25,Activo
121,04726fc8-6944-11ed-b3d8-0242ac1c0002,Baltasar Bautista,Rubio Yuste,baltasar.rubio@hotmail.com,M,0993303124,1996-05-03,Activo
122,04727036-6944-11ed-b3d8-0242ac1c0002,Sebastián Felipe,Páez Díez,sebastián.páez@hotmail.com,M,0933827006,1997-03-27,Activo
123,047270ae-6944-11ed-b3d8-0242ac1c0002,Felicia Amaya,Romeu Acero,felicia.romeu@hotmail.com,F,0955650415,1986-06-09,Activo
124,0472711c-6944-11ed-b3d8-0242ac1c0002,Eva Sarita,Feliu Mur,eva.feliu@hotmail.com,F,0942880204,1989-10-20,Activo
125,0472718a-6944-11ed-b3d8-0242ac1c0002,Pedro Cristóbal,Ayllón Rovira,pedro.ayllón@hotmail.com,M,0927840187,2001-10-17,Inactivo
126,047271f8-6944-11ed-b3d8-0242ac1c0002,Octavio Alfonso,Cruz Aliaga,octavio.cruz@hotmail.com,M,0938230618,1985-07-04,Activo
127,04727270-6944-11ed-b3d8-0242ac1c0002,Catalina Maristela,Alcalá Garriga,catalina.alcalá@hotmail.com,F,0920659354,1997-11-28,Inactivo
128,047272de-6944-11ed-b3d8-0242ac1c0002,Samuel Manolo,Cañellas Alcántara,samuel.cañellas@hotmail.com,M,0985760941,1996-04-23,Inactivo
129,04727342-6944-11ed-b3d8-0242ac1c0002,Samuel Ulises,Enríquez Benavides,samuel.enríquez@hotmail.com,M,0987764655,2003-02-16,Inactivo
130,047273ba-6944-11ed-b3d8-0242ac1c0002,Telmo Isidoro,Rosa Porta,telmo.rosa@hotmail.com,M,0985694390,2000-05-16,Inactivo
131,04727428-6944-11ed-b3d8-0242ac1c0002,Nieves Isabel,Rius Zamorano,nieves.rius@hotmail.com,F,0947416381,1983-04-07,Activo
132,047274a0-6944-11ed-b3d8-0242ac1c0002,Berto Daniel,Agudo Acedo,berto.agudo@hotmail.com,M,0915847239,1984-10-02,Activo
133,04727504-6944-11ed-b3d8-0242ac1c0002,Maricruz Paulina,Arranz Angulo,maricruz.arranz@hotmail.com,F,0905679402,1996-02-05,Activo
134,04727572-6944-11ed-b3d8-0242ac1c0002,Américo Mario,Zurita Barranco,américo.zurita@hotmail.com,M,0907165567,1987-04-02,Inactivo
135,047275e0-6944-11ed-b3d8-0242ac1c0002,María Carmen Florentina,Vara Anguita,maría carmen.vara@hotmail.com,F,0974448877,1980-04-20,Activo
136,04727658-6944-11ed-b3d8-0242ac1c0002,Caridad Adelaida,Castejón Ramírez,caridad.castejón@hotmail.com,F,0914388641,1981-11-03,Inactivo
137,047276d0-6944-11ed-b3d8-0242ac1c0002,Consuela Isidora,Pulido Herrero,consuela.pulido@hotmail.com,F,0930437484,2006-01-28,Inactivo
138,0472773e-6944-11ed-b3d8-0242ac1c0002,Marita Renata,Sancho Reyes,marita.sancho@hotmail.com,F,0955380524,2003-04-03,Activo
139,047277b6-6944-11ed-b3d8-0242ac1c0002,Miguel Ovidio,Ariño Bustamante,miguel.ariño@hotmail.com,M,0955082208,1996-11-11,Inactivo
140,0472782e-6944-11ed-b3d8-0242ac1c0002,Remedios Piedad,Guardiola Mateo,remedios.guardiola@hotmail.com,F,0944116727,1994-10-25,Inactivo
141,0472789c-6944-11ed-b3d8-0242ac1c0002,Elvira Gertrudis,Alegria Barco,elvira.alegria@hotmail.com,F,0925008569,1980-11-12,Activo
142,0472790a-6944-11ed-b3d8-0242ac1c0002,Eli Sonia,Suárez Cepeda,eli.suárez@hotmail.com,F,0920891815,1991-09-23,Inactivo
143,04727978-6944-11ed-b3d8-0242ac1c0002,Manuela Sarita,Carrera Donoso,manuela.carrera@hotmail.com,F,0999121499,1991-07-29,Inactivo
144,047279e6-6944-11ed-b3d8-0242ac1c0002,Chelo Bienvenida,Valls Martí,chelo.valls@hotmail.com,F,0903925542,1981-05-14,Inactivo
145,04727a54-6944-11ed-b3d8-0242ac1c0002,Adelaida Mercedes,Jordá Ruano,adelaida.jordá@hotmail.com,F,0980596119,2002-05-12,Inactivo
146,04727ac2-6944-11ed-b3d8-0242ac1c0002,Pili Calista,Cifuentes Viña,pili.cifuentes@hotmail.com,F,0935396528,1994-04-29,Activo
147,04727b30-6944-11ed-b3d8-0242ac1c0002,Guiomar Estela,Bou Valls,guiomar.bou@hotmail.com,F,0982070666,1983-07-27,Inactivo
148,04727ba8-6944-11ed-b3d8-0242ac1c0002,Lalo Aureliano,Nevado Ocaña,lalo.nevado@hotmail.com,M,0946629634,2004-07-20,Activo
149,04727c20-6944-11ed-b3d8-0242ac1c0002,Marcial Noé,Hervia Torres,marcial.hervia@hotmail.com,M,0947882691,2004-03-07,Activo
150,04727ca2-6944-11ed-b3d8-0242ac1c0002,Fabián Berto,Izaguirre Solano,fabián.izaguirre@hotmail.com,M,0915585005,1985-03-02,Inactivo
151,04727d1a-6944-11ed-b3d8-0242ac1c0002,José Ángel Cebrián,Benavides Abad,josé ángel.benavides@hotmail.com,M,0910851485,1982-11-16,Inactivo
152,04727d88-6944-11ed-b3d8-0242ac1c0002,Leyre Fortunata,Castejón Barriga,leyre.castejón@hotmail.com,F,0994196703,1986-09-14,Activo
153,04727df6-6944-11ed-b3d8-0242ac1c0002,Feliciana Cristina,Elías Raya,feliciana.elías@hotmail.com,F,0966805119,1987-08-25,Activo
154,04727e64-6944-11ed-b3d8-0242ac1c0002,Susanita Alejandra,Amor Anaya,susanita.amor@hotmail.com,F,0931927422,1992-04-13,Activo
155,04727edc-6944-11ed-b3d8-0242ac1c0002,María Carmen Narcisa,Castro Benet,maría carmen.castro@hotmail.com,F,0987709064,1990-03-31,Activo
156,04727f4a-6944-11ed-b3d8-0242ac1c0002,Norberto Vicente,Pastor Vall,norberto.pastor@hotmail.com,M,0996307096,1982-01-13,Inactivo
157,04727fb8-6944-11ed-b3d8-0242ac1c0002,Adelina Evangelina,Arnau Tomé,adelina.arnau@hotmail.com,F,0963544111,2003-06-28,Inactivo
158,04728030-6944-11ed-b3d8-0242ac1c0002,Nieves Albina,Álvaro Alvarez,nieves.álvaro@hotmail.com,F,0936076626,1989-02-06,Activo
159,047280e4-6944-11ed-b3d8-0242ac1c0002,Lorenza Selena,Pol Tejada,lorenza.pol@hotmail.com,F,0911285564,1984-01-22,Inactivo
160,0472815c-6944-11ed-b3d8-0242ac1c0002,Demetrio Fulgencio,Cid Ibáñez,demetrio.cid@hotmail.com,M,0968910378,1990-09-08,Activo
161,047281ca-6944-11ed-b3d8-0242ac1c0002,Flor Rocío,Robledo Carrera,flor.robledo@hotmail.com,F,0937653869,2002-06-28,Activo
162,04728242-6944-11ed-b3d8-0242ac1c0002,Miguel Darío,Aragonés Uriarte,miguel.aragonés@hotmail.com,M,0904782698,1997-02-09,Inactivo
163,047282b0-6944-11ed-b3d8-0242ac1c0002,Ana Sofía Candela,Aguilera Pla,ana sofía.aguilera@hotmail.com,F,0989133805,2002-02-05,Inactivo
164,04728418-6944-11ed-b3d8-0242ac1c0002,Viviana Leandra,Hernandez Egea,viviana.hernandez@hotmail.com,F,0997716203,1999-10-31,Inactivo
165,047284ea-6944-11ed-b3d8-0242ac1c0002,Encarnación Imelda,Querol Montaña,encarnación.querol@hotmail.com,F,0928373002,1988-09-07,Activo
166,0472858a-6944-11ed-b3d8-0242ac1c0002,Haroldo Nico,Cabello Uribe,haroldo.cabello@hotmail.com,M,0994871990,1984-05-27,Activo
167,0472862a-6944-11ed-b3d8-0242ac1c0002,Gema Elodia,Ríos Canals,gema.ríos@hotmail.com,F,0972464805,1991-03-13,Activo
168,047286d4-6944-11ed-b3d8-0242ac1c0002,Carmina Yésica,Abella Cerro,carmina.abella@hotmail.com,F,0952693872,1988-09-25,Activo
169,0472874c-6944-11ed-b3d8-0242ac1c0002,Rosa María Esther,Girona Quintana,rosa maría.girona@hotmail.com,F,0993683979,2004-08-21,Activo
170,047287ec-6944-11ed-b3d8-0242ac1c0002,Toribio Javier,Sánchez Pino,toribio.sánchez@hotmail.com,M,0922851231,1993-01-23,Inactivo
